Lab Collection Date,Parish,Daily Test Count,Daily Negative Test Count,Daily Positive Test Count,Daily Case Count
3/1/2020,Acadia,0,0,0,0
3/2/2020,Acadia,0,0,0,0
3/3/2020,Acadia,0,0,0,0
3/4/2020,Acadia,0,0,0,0
3/5/2020,Acadia,0,0,0,0
3/6/2020,Acadia,0,0,0,0
3/7/2020,Acadia,0,0,0,0
3/8/2020,Acadia,0,0,0,0
3/9/2020,Acadia,0,0,0,0
3/10/2020,Acadia,0,0,0,0
3/11/2020,Acadia,0,0,0,0
3/12/2020,Acadia,0,0,0,0
3/13/2020,Acadia,7,7,0,0
3/14/2020,Acadia,6,6,0,0
3/15/2020,Acadia,10,10,0,0
3/16/2020,Acadia,44,41,3,1
3/17/2020,Acadia,37,34,3,1
3/18/2020,Acadia,36,36,0,0
3/19/2020,Acadia,47,39,8,4
3/20/2020,Acadia,40,37,3,2
3/21/2020,Acadia,26,25,1,1
3/22/2020,Acadia,28,20,8,3
3/23/2020,Acadia,46,28,18,8
3/24/2020,Acadia,51,47,4,4
3/25/2020,Acadia,40,34,6,2
3/26/2020,Acadia,73,51,22,8
3/27/2020,Acadia,63,46,17,5
3/28/2020,Acadia,42,33,9,4
3/29/2020,Acadia,30,27,2,2
3/30/2020,Acadia,84,55,29,10
3/31/2020,Acadia,74,55,18,3
4/1/2020,Acadia,96,77,19,7
4/2/2020,Acadia,133,96,37,13
4/3/2020,Acadia,90,80,10,3
4/4/2020,Acadia,40,36,4,1
4/5/2020,Acadia,31,30,1,0
4/6/2020,Acadia,141,125,16,7
4/7/2020,Acadia,92,78,14,4
4/8/2020,Acadia,109,87,22,8
4/9/2020,Acadia,72,62,10,3
4/10/2020,Acadia,47,39,8,3
4/11/2020,Acadia,34,30,4,2
4/12/2020,Acadia,31,21,10,2
4/13/2020,Acadia,95,83,12,3
4/14/2020,Acadia,96,80,16,2
4/15/2020,Acadia,72,72,0,0
4/16/2020,Acadia,63,60,3,1
4/17/2020,Acadia,49,47,2,1
4/18/2020,Acadia,42,35,7,2
4/19/2020,Acadia,22,22,0,0
4/20/2020,Acadia,71,65,6,6
4/21/2020,Acadia,98,82,16,2
4/22/2020,Acadia,56,56,0,0
4/23/2020,Acadia,71,68,3,0
4/24/2020,Acadia,55,55,0,0
4/25/2020,Acadia,28,26,2,2
4/26/2020,Acadia,25,25,0,0
4/27/2020,Acadia,89,83,6,1
4/28/2020,Acadia,68,62,6,0
4/29/2020,Acadia,50,41,9,4
4/30/2020,Acadia,100,100,0,0
5/1/2020,Acadia,70,64,6,1
5/2/2020,Acadia,50,42,8,1
5/3/2020,Acadia,33,29,4,2
5/4/2020,Acadia,134,122,12,4
5/5/2020,Acadia,112,97,15,3
5/6/2020,Acadia,106,100,6,3
5/7/2020,Acadia,91,83,8,2
5/8/2020,Acadia,106,98,8,5
5/9/2020,Acadia,12,12,0,0
5/10/2020,Acadia,35,32,3,1
5/11/2020,Acadia,184,121,63,42
5/12/2020,Acadia,148,128,20,9
5/13/2020,Acadia,93,83,10,5
5/14/2020,Acadia,99,98,1,1
5/15/2020,Acadia,178,107,71,63
5/16/2020,Acadia,35,15,20,2
5/17/2020,Acadia,45,44,1,1
5/18/2020,Acadia,156,134,22,18
5/19/2020,Acadia,129,111,17,15
5/20/2020,Acadia,225,212,13,5
5/21/2020,Acadia,291,198,92,84
5/22/2020,Acadia,90,87,3,2
5/23/2020,Acadia,29,24,5,3
5/24/2020,Acadia,50,45,5,3
5/25/2020,Acadia,186,179,7,4
5/26/2020,Acadia,258,238,20,14
5/27/2020,Acadia,138,127,11,5
5/28/2020,Acadia,318,273,45,30
5/29/2020,Acadia,234,220,14,10
5/30/2020,Acadia,116,106,10,7
5/31/2020,Acadia,56,41,15,11
6/1/2020,Acadia,388,368,20,14
6/2/2020,Acadia,312,293,19,16
6/3/2020,Acadia,152,135,17,8
6/4/2020,Acadia,198,181,17,10
6/5/2020,Acadia,144,138,6,2
6/6/2020,Acadia,33,31,2,1
6/7/2020,Acadia,40,34,6,3
6/8/2020,Acadia,216,201,15,5
6/9/2020,Acadia,206,182,24,16
6/10/2020,Acadia,289,257,32,23
6/11/2020,Acadia,160,142,18,14
6/12/2020,Acadia,254,218,36,26
6/13/2020,Acadia,42,32,10,4
6/14/2020,Acadia,34,29,5,1
6/15/2020,Acadia,488,429,59,33
6/16/2020,Acadia,190,171,19,10
6/17/2020,Acadia,482,433,49,34
6/18/2020,Acadia,529,465,64,33
6/19/2020,Acadia,236,189,47,29
6/20/2020,Acadia,114,88,26,19
6/21/2020,Acadia,90,78,12,9
6/22/2020,Acadia,552,471,81,53
6/23/2020,Acadia,406,320,85,50
6/24/2020,Acadia,494,430,64,45
6/25/2020,Acadia,769,675,93,58
6/26/2020,Acadia,336,274,62,39
6/27/2020,Acadia,71,51,20,14
6/28/2020,Acadia,100,79,21,10
6/29/2020,Acadia,1000,862,138,81
6/30/2020,Acadia,411,353,58,37
7/1/2020,Acadia,499,404,94,77
7/2/2020,Acadia,339,251,88,56
7/3/2020,Acadia,151,114,37,20
7/4/2020,Acadia,99,67,32,22
7/5/2020,Acadia,141,90,51,31
7/6/2020,Acadia,715,574,140,98
7/7/2020,Acadia,552,430,122,87
7/8/2020,Acadia,461,332,129,85
7/9/2020,Acadia,346,274,71,45
7/10/2020,Acadia,318,237,81,52
7/11/2020,Acadia,139,101,38,30
7/12/2020,Acadia,144,110,34,27
7/13/2020,Acadia,774,590,183,136
7/14/2020,Acadia,544,438,106,79
7/15/2020,Acadia,452,374,78,59
7/16/2020,Acadia,269,215,54,35
7/17/2020,Acadia,264,195,69,46
7/18/2020,Acadia,160,125,35,15
7/19/2020,Acadia,90,72,18,9
7/20/2020,Acadia,579,486,91,59
7/21/2020,Acadia,326,278,48,30
7/22/2020,Acadia,511,452,59,46
7/23/2020,Acadia,248,206,42,29
7/24/2020,Acadia,214,160,54,28
7/25/2020,Acadia,65,48,17,10
7/26/2020,Acadia,44,30,14,7
7/27/2020,Acadia,636,546,88,64
7/28/2020,Acadia,189,153,35,21
7/29/2020,Acadia,317,262,55,41
7/30/2020,Acadia,198,145,52,35
7/31/2020,Acadia,174,143,29,19
8/1/2020,Acadia,59,45,14,7
8/2/2020,Acadia,71,60,11,7
8/3/2020,Acadia,590,532,58,41
8/4/2020,Acadia,203,182,21,15
8/5/2020,Acadia,300,275,24,21
8/6/2020,Acadia,192,152,40,19
8/7/2020,Acadia,150,124,26,17
8/8/2020,Acadia,60,51,9,6
8/9/2020,Acadia,53,47,6,5
8/10/2020,Acadia,548,500,48,39
8/11/2020,Acadia,165,139,26,16
8/12/2020,Acadia,259,244,15,10
8/13/2020,Acadia,171,147,24,14
8/14/2020,Acadia,142,128,14,7
8/15/2020,Acadia,25,23,2,1
8/16/2020,Acadia,167,166,1,1
8/17/2020,Acadia,443,414,29,23
8/18/2020,Acadia,131,120,11,8
8/19/2020,Acadia,255,244,10,8
8/20/2020,Acadia,125,116,9,7
8/21/2020,Acadia,134,114,18,7
8/22/2020,Acadia,37,29,8,4
8/23/2020,Acadia,130,126,4,3
8/24/2020,Acadia,235,222,13,8
8/25/2020,Acadia,200,193,7,5
8/26/2020,Acadia,118,111,7,5
8/27/2020,Acadia,27,25,2,0
8/28/2020,Acadia,62,60,2,2
8/29/2020,Acadia,22,22,0,0
8/30/2020,Acadia,140,135,5,3
8/31/2020,Acadia,310,296,14,9
9/1/2020,Acadia,136,126,10,7
9/2/2020,Acadia,205,195,9,7
9/3/2020,Acadia,93,84,9,6
9/4/2020,Acadia,79,74,5,4
9/5/2020,Acadia,21,21,0,0
9/6/2020,Acadia,132,130,2,2
9/7/2020,Acadia,233,229,4,3
9/8/2020,Acadia,216,203,13,10
9/9/2020,Acadia,221,213,8,8
9/10/2020,Acadia,125,117,8,5
9/11/2020,Acadia,96,88,8,4
9/12/2020,Acadia,82,75,7,2
9/13/2020,Acadia,133,133,0,0
9/14/2020,Acadia,329,314,15,9
9/15/2020,Acadia,175,167,8,6
9/16/2020,Acadia,184,181,3,3
9/17/2020,Acadia,126,123,3,3
9/18/2020,Acadia,133,114,13,10
9/19/2020,Acadia,76,60,0,0
9/20/2020,Acadia,190,170,5,3
9/21/2020,Acadia,321,310,11,7
9/22/2020,Acadia,165,158,7,5
9/23/2020,Acadia,172,161,9,6
9/24/2020,Acadia,137,125,11,9
9/25/2020,Acadia,108,97,11,10
9/26/2020,Acadia,25,22,3,3
9/27/2020,Acadia,138,138,0,0
9/28/2020,Acadia,429,376,15,13
9/29/2020,Acadia,171,166,5,5
9/30/2020,Acadia,162,154,8,6
10/1/2020,Acadia,120,117,3,3
10/2/2020,Acadia,102,96,6,5
10/3/2020,Acadia,26,25,1,1
10/4/2020,Acadia,154,153,1,1
10/5/2020,Acadia,345,326,19,14
10/6/2020,Acadia,215,208,7,7
10/7/2020,Acadia,163,154,9,5
10/8/2020,Acadia,125,112,13,13
10/9/2020,Acadia,10,10,0,0
10/10/2020,Acadia,23,19,4,2
10/11/2020,Acadia,37,31,6,4
10/12/2020,Acadia,323,302,21,18
10/13/2020,Acadia,186,177,9,8
10/14/2020,Acadia,270,253,17,10
10/15/2020,Acadia,133,119,14,11
10/16/2020,Acadia,72,67,5,5
10/17/2020,Acadia,39,31,8,5
10/18/2020,Acadia,162,160,2,2
10/19/2020,Acadia,326,308,18,17
10/20/2020,Acadia,215,196,19,14
10/21/2020,Acadia,144,136,8,6
10/22/2020,Acadia,145,140,5,4
10/23/2020,Acadia,113,97,16,14
10/24/2020,Acadia,34,27,7,4
10/25/2020,Acadia,178,169,9,6
10/26/2020,Acadia,347,328,18,13
10/27/2020,Acadia,211,191,20,15
10/28/2020,Acadia,162,146,16,12
10/29/2020,Acadia,121,116,5,5
10/30/2020,Acadia,175,160,15,12
10/31/2020,Acadia,56,47,9,8
11/1/2020,Acadia,194,180,13,10
11/2/2020,Acadia,371,340,31,26
11/3/2020,Acadia,237,204,31,23
11/4/2020,Acadia,395,356,38,27
11/5/2020,Acadia,134,115,19,19
11/6/2020,Acadia,132,106,26,24
11/7/2020,Acadia,50,41,9,9
11/8/2020,Acadia,203,188,15,11
11/9/2020,Acadia,446,388,57,49
11/10/2020,Acadia,262,222,40,32
11/11/2020,Acadia,426,394,32,28
11/12/2020,Acadia,231,198,33,29
11/13/2020,Acadia,166,140,26,23
11/14/2020,Acadia,73,52,21,14
11/15/2020,Acadia,178,172,6,6
11/16/2020,Acadia,501,445,56,52
11/17/2020,Acadia,282,231,51,47
11/18/2020,Acadia,575,520,54,45
11/19/2020,Acadia,379,325,54,44
11/20/2020,Acadia,236,187,49,41
11/21/2020,Acadia,87,60,27,20
11/22/2020,Acadia,131,99,32,27
11/23/2020,Acadia,843,782,60,52
11/24/2020,Acadia,243,199,41,33
11/25/2020,Acadia,585,531,54,43
11/26/2020,Acadia,60,53,7,4
11/27/2020,Acadia,173,131,42,31
11/28/2020,Acadia,60,43,17,12
11/29/2020,Acadia,144,108,36,23
11/30/2020,Acadia,780,690,90,75
12/1/2020,Acadia,260,205,55,47
12/2/2020,Acadia,565,509,56,45
12/3/2020,Acadia,444,388,56,47
12/4/2020,Acadia,186,154,32,24
12/5/2020,Acadia,80,62,18,12
12/6/2020,Acadia,143,116,27,20
12/7/2020,Acadia,970,902,68,55
12/8/2020,Acadia,317,266,50,40
12/9/2020,Acadia,641,594,47,42
12/10/2020,Acadia,375,337,38,32
12/11/2020,Acadia,254,205,49,38
12/12/2020,Acadia,82,68,14,13
12/13/2020,Acadia,123,88,35,26
12/14/2020,Acadia,929,866,63,49
12/15/2020,Acadia,324,284,40,33
12/16/2020,Acadia,744,699,45,39
12/17/2020,Acadia,418,372,46,36
12/18/2020,Acadia,203,158,44,36
12/19/2020,Acadia,76,60,16,12
12/20/2020,Acadia,151,126,25,23
12/21/2020,Acadia,911,837,73,57
12/22/2020,Acadia,273,232,41,31
12/23/2020,Acadia,606,556,50,40
12/24/2020,Acadia,124,110,14,13
12/25/2020,Acadia,29,26,3,2
12/26/2020,Acadia,101,73,27,24
12/27/2020,Acadia,161,131,30,26
12/28/2020,Acadia,955,879,76,68
12/29/2020,Acadia,252,200,52,43
12/30/2020,Acadia,632,570,62,51
12/31/2020,Acadia,192,152,40,33
1/1/2021,Acadia,71,50,21,20
1/2/2021,Acadia,109,89,20,17
1/3/2021,Acadia,149,112,36,27
1/4/2021,Acadia,1089,993,96,82
1/5/2021,Acadia,279,223,56,48
1/6/2021,Acadia,641,607,34,27
1/7/2021,Acadia,359,324,34,29
1/8/2021,Acadia,194,167,27,16
1/9/2021,Acadia,70,53,17,14
1/10/2021,Acadia,142,124,18,12
1/11/2021,Acadia,918,884,34,29
1/12/2021,Acadia,236,199,37,25
1/13/2021,Acadia,670,641,27,16
1/14/2021,Acadia,390,366,24,18
1/15/2021,Acadia,207,185,22,19
1/16/2021,Acadia,78,67,11,11
1/17/2021,Acadia,125,117,8,8
1/18/2021,Acadia,767,736,31,27
1/19/2021,Acadia,266,238,28,21
1/20/2021,Acadia,674,656,18,17
3/1/2020,Allen,0,0,0,0
3/2/2020,Allen,0,0,0,0
3/3/2020,Allen,0,0,0,0
3/4/2020,Allen,0,0,0,0
3/5/2020,Allen,0,0,0,0
3/6/2020,Allen,0,0,0,0
3/7/2020,Allen,0,0,0,0
3/8/2020,Allen,0,0,0,0
3/9/2020,Allen,0,0,0,0
3/10/2020,Allen,0,0,0,0
3/11/2020,Allen,1,1,0,0
3/12/2020,Allen,0,0,0,0
3/13/2020,Allen,0,0,0,0
3/14/2020,Allen,3,3,0,0
3/15/2020,Allen,2,2,0,0
3/16/2020,Allen,5,5,0,0
3/17/2020,Allen,2,2,0,0
3/18/2020,Allen,2,2,0,0
3/19/2020,Allen,12,9,3,1
3/20/2020,Allen,9,7,2,2
3/21/2020,Allen,1,1,0,0
3/22/2020,Allen,4,3,1,1
3/23/2020,Allen,23,20,3,3
3/24/2020,Allen,24,18,6,3
3/25/2020,Allen,30,24,6,3
3/26/2020,Allen,17,0,17,9
3/27/2020,Allen,16,12,4,4
3/28/2020,Allen,12,7,5,3
3/29/2020,Allen,12,2,10,2
3/30/2020,Allen,36,17,19,10
3/31/2020,Allen,23,12,11,6
4/1/2020,Allen,34,18,16,14
4/2/2020,Allen,34,30,4,4
4/3/2020,Allen,27,22,5,3
4/4/2020,Allen,4,3,1,0
4/5/2020,Allen,11,10,1,1
4/6/2020,Allen,34,29,5,2
4/7/2020,Allen,27,26,1,1
4/8/2020,Allen,26,24,2,0
4/9/2020,Allen,33,29,4,3
4/10/2020,Allen,11,9,2,2
4/11/2020,Allen,8,8,0,0
4/12/2020,Allen,6,5,1,1
4/13/2020,Allen,24,16,8,3
4/14/2020,Allen,19,11,7,5
4/15/2020,Allen,14,11,3,2
4/16/2020,Allen,24,23,1,0
4/17/2020,Allen,13,11,2,2
4/18/2020,Allen,5,5,0,0
4/19/2020,Allen,3,1,2,1
4/20/2020,Allen,14,8,6,0
4/21/2020,Allen,16,15,1,1
4/22/2020,Allen,16,13,3,2
4/23/2020,Allen,8,8,0,0
4/24/2020,Allen,9,8,1,0
4/25/2020,Allen,6,6,0,0
4/26/2020,Allen,7,7,0,0
4/27/2020,Allen,18,18,0,0
4/28/2020,Allen,26,22,4,2
4/29/2020,Allen,16,16,0,0
4/30/2020,Allen,13,12,1,1
5/1/2020,Allen,19,16,3,0
5/2/2020,Allen,15,15,0,0
5/3/2020,Allen,8,8,0,0
5/4/2020,Allen,13,13,0,0
5/5/2020,Allen,14,12,2,1
5/6/2020,Allen,17,17,0,0
5/7/2020,Allen,13,12,1,0
5/8/2020,Allen,22,18,4,0
5/9/2020,Allen,3,3,0,0
5/10/2020,Allen,5,5,0,0
5/11/2020,Allen,27,27,0,0
5/12/2020,Allen,25,24,1,0
5/13/2020,Allen,160,132,23,23
5/14/2020,Allen,495,431,56,52
5/15/2020,Allen,123,115,6,6
5/16/2020,Allen,11,11,0,0
5/17/2020,Allen,6,6,0,0
5/18/2020,Allen,32,32,0,0
5/19/2020,Allen,26,26,0,0
5/20/2020,Allen,122,121,1,1
5/21/2020,Allen,14,14,0,0
5/22/2020,Allen,18,18,0,0
5/23/2020,Allen,13,13,0,0
5/24/2020,Allen,7,7,0,0
5/25/2020,Allen,4,4,0,0
5/26/2020,Allen,22,22,0,0
5/27/2020,Allen,130,129,1,1
5/28/2020,Allen,10,9,1,1
5/29/2020,Allen,26,26,0,0
5/30/2020,Allen,16,16,0,0
5/31/2020,Allen,8,8,0,0
6/1/2020,Allen,50,47,3,3
6/2/2020,Allen,174,172,2,2
6/3/2020,Allen,85,84,1,1
6/4/2020,Allen,79,78,1,1
6/5/2020,Allen,31,29,2,1
6/6/2020,Allen,6,5,1,1
6/7/2020,Allen,7,6,1,1
6/8/2020,Allen,73,72,1,0
6/9/2020,Allen,315,298,16,15
6/10/2020,Allen,596,580,15,15
6/11/2020,Allen,59,56,3,3
6/12/2020,Allen,157,146,11,8
6/13/2020,Allen,11,11,0,0
6/14/2020,Allen,23,14,9,6
6/15/2020,Allen,121,111,10,10
6/16/2020,Allen,286,273,11,6
6/17/2020,Allen,392,365,27,23
6/18/2020,Allen,149,130,19,17
6/19/2020,Allen,171,158,13,11
6/20/2020,Allen,49,41,8,5
6/21/2020,Allen,26,15,11,9
6/22/2020,Allen,209,184,25,20
6/23/2020,Allen,253,235,18,11
6/24/2020,Allen,265,246,19,16
6/25/2020,Allen,188,169,19,14
6/26/2020,Allen,107,84,23,21
6/27/2020,Allen,16,13,3,3
6/28/2020,Allen,79,67,12,9
6/29/2020,Allen,169,141,28,20
6/30/2020,Allen,357,338,19,12
7/1/2020,Allen,114,85,29,18
7/2/2020,Allen,108,76,32,24
7/3/2020,Allen,78,53,25,15
7/4/2020,Allen,19,14,5,4
7/5/2020,Allen,26,14,12,8
7/6/2020,Allen,107,83,24,17
7/7/2020,Allen,897,864,33,25
7/8/2020,Allen,120,97,23,17
7/9/2020,Allen,84,60,24,18
7/10/2020,Allen,72,44,28,20
7/11/2020,Allen,19,8,11,10
7/12/2020,Allen,21,16,5,4
7/13/2020,Allen,140,109,31,23
7/14/2020,Allen,509,416,91,81
7/15/2020,Allen,257,235,21,17
7/16/2020,Allen,213,168,45,34
7/17/2020,Allen,109,84,25,18
7/18/2020,Allen,17,9,8,4
7/19/2020,Allen,10,5,5,3
7/20/2020,Allen,104,80,24,19
7/21/2020,Allen,594,491,101,90
7/22/2020,Allen,170,101,66,58
7/23/2020,Allen,176,123,53,37
7/24/2020,Allen,85,55,30,23
7/25/2020,Allen,25,15,10,9
7/26/2020,Allen,34,21,13,13
7/27/2020,Allen,219,189,29,25
7/28/2020,Allen,354,304,43,38
7/29/2020,Allen,213,191,17,12
7/30/2020,Allen,406,347,57,50
7/31/2020,Allen,126,84,41,36
8/1/2020,Allen,33,24,9,8
8/2/2020,Allen,18,12,6,5
8/3/2020,Allen,260,224,36,26
8/4/2020,Allen,321,280,40,36
8/5/2020,Allen,146,135,10,9
8/6/2020,Allen,145,129,14,12
8/7/2020,Allen,393,368,20,13
8/8/2020,Allen,21,17,4,4
8/9/2020,Allen,19,10,9,6
8/10/2020,Allen,225,203,20,14
8/11/2020,Allen,349,313,33,26
8/12/2020,Allen,120,112,8,8
8/13/2020,Allen,80,69,11,7
8/14/2020,Allen,196,179,14,12
8/15/2020,Allen,28,18,10,8
8/16/2020,Allen,21,19,2,1
8/17/2020,Allen,230,221,9,5
8/18/2020,Allen,175,160,15,13
8/19/2020,Allen,69,63,6,4
8/20/2020,Allen,69,63,6,5
8/21/2020,Allen,156,150,6,4
8/22/2020,Allen,11,10,1,1
8/23/2020,Allen,15,12,3,1
8/24/2020,Allen,178,168,10,6
8/25/2020,Allen,248,240,8,6
8/26/2020,Allen,26,25,1,0
8/27/2020,Allen,6,6,0,0
8/28/2020,Allen,19,17,2,2
8/29/2020,Allen,6,5,1,0
8/30/2020,Allen,6,5,1,1
8/31/2020,Allen,217,210,7,7
9/1/2020,Allen,26,24,2,2
9/2/2020,Allen,85,73,12,9
9/3/2020,Allen,43,36,7,6
9/4/2020,Allen,22,17,5,5
9/5/2020,Allen,9,8,1,0
9/6/2020,Allen,9,7,2,2
9/7/2020,Allen,38,22,16,13
9/8/2020,Allen,210,206,4,2
9/9/2020,Allen,109,108,1,1
9/10/2020,Allen,34,29,5,3
9/11/2020,Allen,45,42,3,3
9/12/2020,Allen,13,8,5,4
9/13/2020,Allen,10,5,5,2
9/14/2020,Allen,186,181,5,3
9/15/2020,Allen,129,127,2,2
9/16/2020,Allen,51,45,6,4
9/17/2020,Allen,55,47,8,4
9/18/2020,Allen,36,34,2,2
9/19/2020,Allen,5,4,1,1
9/20/2020,Allen,16,12,4,3
9/21/2020,Allen,169,141,28,22
9/22/2020,Allen,127,116,10,9
9/23/2020,Allen,72,63,9,9
9/24/2020,Allen,51,44,7,6
9/25/2020,Allen,57,44,13,11
9/26/2020,Allen,22,16,6,5
9/27/2020,Allen,27,22,5,4
9/28/2020,Allen,188,120,67,46
9/29/2020,Allen,144,117,27,24
9/30/2020,Allen,88,69,19,16
10/1/2020,Allen,80,66,14,12
10/2/2020,Allen,101,84,17,13
10/3/2020,Allen,11,5,6,6
10/4/2020,Allen,27,23,4,4
10/5/2020,Allen,243,165,77,26
10/6/2020,Allen,266,247,19,12
10/7/2020,Allen,189,173,16,11
10/8/2020,Allen,28,25,3,2
10/9/2020,Allen,65,64,1,1
10/10/2020,Allen,19,19,0,0
10/11/2020,Allen,20,12,8,7
10/12/2020,Allen,104,83,21,15
10/13/2020,Allen,134,123,11,10
10/14/2020,Allen,97,82,15,13
10/15/2020,Allen,91,79,12,9
10/16/2020,Allen,46,42,4,3
10/17/2020,Allen,17,13,4,2
10/18/2020,Allen,13,12,1,1
10/19/2020,Allen,291,279,12,10
10/20/2020,Allen,196,182,14,11
10/21/2020,Allen,105,98,7,6
10/22/2020,Allen,157,151,6,3
10/23/2020,Allen,27,23,4,4
10/24/2020,Allen,34,32,2,1
10/25/2020,Allen,14,13,1,1
10/26/2020,Allen,122,107,15,7
10/27/2020,Allen,148,139,9,7
10/28/2020,Allen,251,245,6,5
10/29/2020,Allen,156,144,12,11
10/30/2020,Allen,93,87,6,6
10/31/2020,Allen,20,15,5,5
11/1/2020,Allen,19,15,4,4
11/2/2020,Allen,162,149,13,12
11/3/2020,Allen,186,182,4,3
11/4/2020,Allen,123,112,11,9
11/5/2020,Allen,84,77,7,5
11/6/2020,Allen,51,44,7,6
11/7/2020,Allen,43,35,8,6
11/8/2020,Allen,20,15,5,4
11/9/2020,Allen,281,269,12,11
11/10/2020,Allen,318,308,9,8
11/11/2020,Allen,73,59,14,14
11/12/2020,Allen,83,71,12,10
11/13/2020,Allen,176,161,15,14
11/14/2020,Allen,14,12,2,2
11/15/2020,Allen,25,17,8,7
11/16/2020,Allen,162,148,14,13
11/17/2020,Allen,123,109,14,13
11/18/2020,Allen,113,98,15,11
11/19/2020,Allen,105,97,8,8
11/20/2020,Allen,238,224,14,14
11/21/2020,Allen,28,20,8,8
11/22/2020,Allen,33,30,2,2
11/23/2020,Allen,217,202,15,13
11/24/2020,Allen,170,162,8,6
11/25/2020,Allen,116,101,15,12
11/26/2020,Allen,9,8,1,1
11/27/2020,Allen,35,30,5,5
11/28/2020,Allen,21,19,2,2
11/29/2020,Allen,27,25,2,2
11/30/2020,Allen,140,119,20,18
12/1/2020,Allen,168,159,9,7
12/2/2020,Allen,87,74,13,8
12/3/2020,Allen,154,139,15,10
12/4/2020,Allen,227,213,13,11
12/5/2020,Allen,14,13,1,1
12/6/2020,Allen,33,27,6,5
12/7/2020,Allen,228,210,18,18
12/8/2020,Allen,170,152,18,13
12/9/2020,Allen,177,164,13,11
12/10/2020,Allen,219,198,20,15
12/11/2020,Allen,187,130,56,55
12/12/2020,Allen,33,30,3,3
12/13/2020,Allen,34,27,6,4
12/14/2020,Allen,148,129,19,15
12/15/2020,Allen,204,190,14,9
12/16/2020,Allen,138,130,8,8
12/17/2020,Allen,131,112,18,15
12/18/2020,Allen,99,91,8,8
12/19/2020,Allen,22,19,3,3
12/20/2020,Allen,29,26,3,2
12/21/2020,Allen,214,194,18,17
12/22/2020,Allen,137,126,11,8
12/23/2020,Allen,102,76,26,23
12/24/2020,Allen,57,49,8,7
12/25/2020,Allen,3,3,0,0
12/26/2020,Allen,32,22,10,9
12/27/2020,Allen,38,29,9,8
12/28/2020,Allen,193,172,21,18
12/29/2020,Allen,149,131,17,17
12/30/2020,Allen,181,161,20,18
12/31/2020,Allen,181,166,15,14
1/1/2021,Allen,42,35,7,7
1/2/2021,Allen,36,22,14,14
1/3/2021,Allen,35,22,13,9
1/4/2021,Allen,246,220,26,25
1/5/2021,Allen,181,168,13,10
1/6/2021,Allen,121,109,12,10
1/7/2021,Allen,183,173,9,7
1/8/2021,Allen,86,73,13,11
1/9/2021,Allen,20,15,5,5
1/10/2021,Allen,39,34,5,4
1/11/2021,Allen,221,207,14,10
1/12/2021,Allen,209,188,21,18
1/13/2021,Allen,143,130,13,11
1/14/2021,Allen,268,237,31,30
1/15/2021,Allen,86,75,11,10
1/16/2021,Allen,36,29,7,6
1/17/2021,Allen,38,33,5,5
1/18/2021,Allen,202,187,15,13
1/19/2021,Allen,195,187,8,7
1/20/2021,Allen,103,92,11,11
3/1/2020,Ascension,1,1,0,0
3/2/2020,Ascension,0,0,0,0
3/3/2020,Ascension,1,1,0,0
3/4/2020,Ascension,0,0,0,0
3/5/2020,Ascension,0,0,0,0
3/6/2020,Ascension,0,0,0,0
3/7/2020,Ascension,1,1,0,0
3/8/2020,Ascension,0,0,0,0
3/9/2020,Ascension,1,1,0,0
3/10/2020,Ascension,0,0,0,0
3/11/2020,Ascension,1,1,0,0
3/12/2020,Ascension,2,2,0,0
3/13/2020,Ascension,15,13,2,2
3/14/2020,Ascension,13,13,0,0
3/15/2020,Ascension,7,3,4,3
3/16/2020,Ascension,86,75,11,11
3/17/2020,Ascension,68,62,6,5
3/18/2020,Ascension,98,82,16,10
3/19/2020,Ascension,94,79,15,11
3/20/2020,Ascension,91,64,27,16
3/21/2020,Ascension,20,12,8,5
3/22/2020,Ascension,17,5,12,7
3/23/2020,Ascension,152,110,42,20
3/24/2020,Ascension,178,107,69,42
3/25/2020,Ascension,153,105,48,30
3/26/2020,Ascension,140,90,50,31
3/27/2020,Ascension,161,103,58,29
3/28/2020,Ascension,28,14,14,6
3/29/2020,Ascension,28,14,12,5
3/30/2020,Ascension,189,113,74,39
3/31/2020,Ascension,114,65,43,27
4/1/2020,Ascension,85,53,27,18
4/2/2020,Ascension,119,81,38,23
4/3/2020,Ascension,107,66,41,24
4/4/2020,Ascension,30,18,12,7
