Lab Collection Date,Parish,Daily Test Count,Daily Negative Test Count,Daily Positive Test Count,Daily Case Count
3/1/2020,Acadia,0,0,0,0
3/2/2020,Acadia,0,0,0,0
3/3/2020,Acadia,0,0,0,0
3/4/2020,Acadia,0,0,0,0
3/5/2020,Acadia,0,0,0,0
3/6/2020,Acadia,0,0,0,0
3/7/2020,Acadia,0,0,0,0
3/8/2020,Acadia,0,0,0,0
3/9/2020,Acadia,0,0,0,0
3/10/2020,Acadia,0,0,0,0
3/11/2020,Acadia,0,0,0,0
3/12/2020,Acadia,0,0,0,0
3/13/2020,Acadia,7,7,0,0
3/14/2020,Acadia,6,6,0,0
3/15/2020,Acadia,10,10,0,0
3/16/2020,Acadia,44,41,3,1
3/17/2020,Acadia,37,34,3,1
3/18/2020,Acadia,36,36,0,0
3/19/2020,Acadia,47,39,8,4
3/20/2020,Acadia,39,36,3,2
3/21/2020,Acadia,26,25,1,1
3/22/2020,Acadia,28,20,8,3
3/23/2020,Acadia,46,28,18,8
3/24/2020,Acadia,50,46,4,4
3/25/2020,Acadia,40,34,6,2
3/26/2020,Acadia,74,52,22,8
3/27/2020,Acadia,62,45,17,5
3/28/2020,Acadia,42,33,9,4
3/29/2020,Acadia,30,27,2,2
3/30/2020,Acadia,84,55,29,10
3/31/2020,Acadia,74,55,18,3
4/1/2020,Acadia,96,77,19,7
4/2/2020,Acadia,133,96,37,13
4/3/2020,Acadia,90,80,10,3
4/4/2020,Acadia,40,36,4,1
4/5/2020,Acadia,31,30,1,0
4/6/2020,Acadia,139,123,16,7
4/7/2020,Acadia,92,78,14,4
4/8/2020,Acadia,109,87,22,8
4/9/2020,Acadia,72,62,10,3
4/10/2020,Acadia,46,38,8,3
4/11/2020,Acadia,34,30,4,2
4/12/2020,Acadia,31,21,10,2
4/13/2020,Acadia,96,84,12,3
4/14/2020,Acadia,96,80,16,2
4/15/2020,Acadia,72,72,0,0
4/16/2020,Acadia,63,60,3,1
4/17/2020,Acadia,49,47,2,1
4/18/2020,Acadia,42,35,7,2
4/19/2020,Acadia,22,22,0,0
4/20/2020,Acadia,71,64,7,6
4/21/2020,Acadia,97,81,16,2
4/22/2020,Acadia,56,56,0,0
4/23/2020,Acadia,71,68,3,0
4/24/2020,Acadia,55,55,0,0
4/25/2020,Acadia,28,26,2,2
4/26/2020,Acadia,25,25,0,0
4/27/2020,Acadia,90,83,7,1
4/28/2020,Acadia,68,62,6,0
4/29/2020,Acadia,50,41,9,4
4/30/2020,Acadia,100,100,0,0
5/1/2020,Acadia,70,64,6,1
5/2/2020,Acadia,50,42,8,1
5/3/2020,Acadia,33,29,4,2
5/4/2020,Acadia,134,122,12,4
5/5/2020,Acadia,112,97,15,3
5/6/2020,Acadia,106,100,6,3
5/7/2020,Acadia,91,83,8,2
5/8/2020,Acadia,106,98,8,5
5/9/2020,Acadia,12,12,0,0
5/10/2020,Acadia,35,32,3,1
5/11/2020,Acadia,188,125,63,42
5/12/2020,Acadia,148,128,20,9
5/13/2020,Acadia,93,83,10,5
5/14/2020,Acadia,99,98,1,1
5/15/2020,Acadia,178,107,71,63
5/16/2020,Acadia,35,15,20,2
5/17/2020,Acadia,45,44,1,1
5/18/2020,Acadia,158,136,22,18
5/19/2020,Acadia,128,110,17,15
5/20/2020,Acadia,225,212,13,5
5/21/2020,Acadia,291,198,92,84
5/22/2020,Acadia,89,86,3,2
5/23/2020,Acadia,29,24,5,3
5/24/2020,Acadia,50,45,5,3
5/25/2020,Acadia,186,179,7,4
5/26/2020,Acadia,258,239,19,14
5/27/2020,Acadia,138,127,11,5
5/28/2020,Acadia,318,273,45,30
5/29/2020,Acadia,234,220,14,10
5/30/2020,Acadia,118,108,10,7
5/31/2020,Acadia,57,42,15,11
6/1/2020,Acadia,383,363,20,14
6/2/2020,Acadia,316,297,19,16
6/3/2020,Acadia,152,135,17,8
6/4/2020,Acadia,197,181,16,9
6/5/2020,Acadia,144,138,6,2
6/6/2020,Acadia,33,31,2,1
6/7/2020,Acadia,40,34,6,3
6/8/2020,Acadia,217,202,15,5
6/9/2020,Acadia,208,184,24,16
6/10/2020,Acadia,288,256,32,23
6/11/2020,Acadia,160,142,18,14
6/12/2020,Acadia,254,218,36,26
6/13/2020,Acadia,42,32,10,4
6/14/2020,Acadia,35,30,5,1
6/15/2020,Acadia,489,431,58,33
6/16/2020,Acadia,191,172,19,9
6/17/2020,Acadia,503,454,49,34
6/18/2020,Acadia,532,468,64,33
6/19/2020,Acadia,234,187,47,29
6/20/2020,Acadia,115,89,26,19
6/21/2020,Acadia,89,77,12,9
6/22/2020,Acadia,552,470,82,53
6/23/2020,Acadia,412,325,86,49
6/24/2020,Acadia,507,445,62,43
6/25/2020,Acadia,775,681,93,58
6/26/2020,Acadia,337,275,62,39
6/27/2020,Acadia,72,52,20,14
6/28/2020,Acadia,100,79,21,10
6/29/2020,Acadia,1012,867,145,81
6/30/2020,Acadia,420,360,60,36
7/1/2020,Acadia,509,411,97,76
7/2/2020,Acadia,357,264,93,60
7/3/2020,Acadia,151,114,37,20
7/4/2020,Acadia,99,67,32,22
7/5/2020,Acadia,142,91,51,31
7/6/2020,Acadia,723,580,142,97
7/7/2020,Acadia,555,432,123,88
7/8/2020,Acadia,474,340,134,88
7/9/2020,Acadia,343,272,70,44
7/10/2020,Acadia,319,238,81,52
7/11/2020,Acadia,141,103,38,30
7/12/2020,Acadia,145,111,34,27
7/13/2020,Acadia,778,590,187,139
7/14/2020,Acadia,552,441,111,80
7/15/2020,Acadia,469,388,81,60
7/16/2020,Acadia,272,216,56,35
7/17/2020,Acadia,266,196,70,47
7/18/2020,Acadia,161,126,35,15
7/19/2020,Acadia,91,73,18,9
7/20/2020,Acadia,589,494,93,60
7/21/2020,Acadia,329,278,51,32
7/22/2020,Acadia,515,457,58,46
7/23/2020,Acadia,253,211,42,29
7/24/2020,Acadia,215,162,53,27
7/25/2020,Acadia,64,48,16,10
7/26/2020,Acadia,46,32,14,7
7/27/2020,Acadia,639,548,89,63
7/28/2020,Acadia,188,152,35,21
7/29/2020,Acadia,320,265,55,40
7/30/2020,Acadia,203,150,52,35
7/31/2020,Acadia,174,143,29,19
8/1/2020,Acadia,59,45,14,7
8/2/2020,Acadia,72,61,11,7
8/3/2020,Acadia,589,531,58,41
8/4/2020,Acadia,205,184,21,15
8/5/2020,Acadia,305,280,24,21
8/6/2020,Acadia,195,155,40,19
8/7/2020,Acadia,152,126,26,17
8/8/2020,Acadia,61,52,9,6
8/9/2020,Acadia,53,47,6,5
8/10/2020,Acadia,548,499,49,39
8/11/2020,Acadia,165,139,26,16
8/12/2020,Acadia,265,250,15,10
8/13/2020,Acadia,172,148,24,13
8/14/2020,Acadia,145,130,15,7
8/15/2020,Acadia,25,23,2,1
8/16/2020,Acadia,169,168,1,1
8/17/2020,Acadia,444,415,29,23
8/18/2020,Acadia,129,118,11,8
8/19/2020,Acadia,261,248,12,9
8/20/2020,Acadia,128,118,10,8
8/21/2020,Acadia,133,113,18,7
8/22/2020,Acadia,37,29,8,4
8/23/2020,Acadia,130,126,4,3
8/24/2020,Acadia,238,225,13,8
8/25/2020,Acadia,199,192,7,5
8/26/2020,Acadia,120,113,7,5
8/27/2020,Acadia,28,26,2,0
8/28/2020,Acadia,61,59,2,2
8/29/2020,Acadia,22,22,0,0
8/30/2020,Acadia,140,135,5,3
8/31/2020,Acadia,313,299,14,9
9/1/2020,Acadia,135,125,10,7
9/2/2020,Acadia,211,201,9,7
9/3/2020,Acadia,97,88,9,6
9/4/2020,Acadia,82,77,5,4
9/5/2020,Acadia,20,20,0,0
9/6/2020,Acadia,132,130,2,2
9/7/2020,Acadia,235,231,4,3
9/8/2020,Acadia,215,203,12,9
9/9/2020,Acadia,224,216,8,8
9/10/2020,Acadia,127,119,8,5
9/11/2020,Acadia,97,89,8,4
9/12/2020,Acadia,82,75,7,2
9/13/2020,Acadia,133,133,0,0
9/14/2020,Acadia,333,318,15,9
9/15/2020,Acadia,176,168,8,6
9/16/2020,Acadia,190,186,4,4
9/17/2020,Acadia,126,123,3,3
9/18/2020,Acadia,135,116,13,10
9/19/2020,Acadia,80,63,0,0
9/20/2020,Acadia,195,175,5,3
9/21/2020,Acadia,321,310,11,7
9/22/2020,Acadia,167,160,7,5
9/23/2020,Acadia,175,165,9,6
9/24/2020,Acadia,140,128,11,9
9/25/2020,Acadia,108,97,11,10
9/26/2020,Acadia,25,22,3,3
9/27/2020,Acadia,138,138,0,0
9/28/2020,Acadia,437,382,15,13
9/29/2020,Acadia,170,165,5,5
9/30/2020,Acadia,162,154,8,6
10/1/2020,Acadia,120,117,3,3
10/2/2020,Acadia,106,100,6,5
10/3/2020,Acadia,26,25,1,1
10/4/2020,Acadia,153,152,1,1
10/5/2020,Acadia,351,331,20,15
10/6/2020,Acadia,213,206,7,7
10/7/2020,Acadia,164,155,9,5
10/8/2020,Acadia,124,111,13,13
10/9/2020,Acadia,10,10,0,0
10/10/2020,Acadia,23,19,4,2
10/11/2020,Acadia,37,31,6,4
10/12/2020,Acadia,326,305,21,18
10/13/2020,Acadia,184,175,9,8
10/14/2020,Acadia,270,253,17,10
10/15/2020,Acadia,136,122,14,11
10/16/2020,Acadia,73,68,5,5
10/17/2020,Acadia,39,31,8,5
10/18/2020,Acadia,161,159,2,2
10/19/2020,Acadia,327,309,18,17
10/20/2020,Acadia,217,198,19,14
10/21/2020,Acadia,146,138,8,6
10/22/2020,Acadia,148,143,5,4
10/23/2020,Acadia,118,102,16,14
10/24/2020,Acadia,34,27,7,4
10/25/2020,Acadia,177,168,9,6
10/26/2020,Acadia,353,334,18,13
10/27/2020,Acadia,209,189,20,15
10/28/2020,Acadia,166,150,16,12
10/29/2020,Acadia,122,117,5,5
10/30/2020,Acadia,180,165,15,12
10/31/2020,Acadia,57,48,9,8
11/1/2020,Acadia,193,179,13,10
11/2/2020,Acadia,376,344,32,26
11/3/2020,Acadia,235,202,31,23
11/4/2020,Acadia,397,359,37,26
11/5/2020,Acadia,136,116,20,19
11/6/2020,Acadia,134,108,26,24
11/7/2020,Acadia,50,41,9,9
11/8/2020,Acadia,202,187,15,11
11/9/2020,Acadia,447,389,57,49
11/10/2020,Acadia,262,221,41,33
11/11/2020,Acadia,438,401,37,31
11/12/2020,Acadia,234,200,34,30
11/13/2020,Acadia,167,140,27,24
11/14/2020,Acadia,73,52,21,14
11/15/2020,Acadia,178,172,6,6
11/16/2020,Acadia,508,452,56,52
11/17/2020,Acadia,285,232,53,49
11/18/2020,Acadia,585,527,57,46
11/19/2020,Acadia,381,328,53,43
11/20/2020,Acadia,240,189,51,42
11/21/2020,Acadia,89,62,27,20
11/22/2020,Acadia,130,98,32,27
11/23/2020,Acadia,863,798,64,54
11/24/2020,Acadia,243,198,42,33
11/25/2020,Acadia,592,537,55,43
11/26/2020,Acadia,60,53,7,4
11/27/2020,Acadia,173,131,42,31
11/28/2020,Acadia,61,44,17,12
11/29/2020,Acadia,145,109,36,23
11/30/2020,Acadia,787,694,93,75
12/1/2020,Acadia,263,207,56,47
12/2/2020,Acadia,573,517,56,45
12/3/2020,Acadia,442,386,56,47
12/4/2020,Acadia,186,154,32,24
12/5/2020,Acadia,81,63,18,12
12/6/2020,Acadia,141,114,27,20
12/7/2020,Acadia,986,916,70,56
12/8/2020,Acadia,323,271,51,40
12/9/2020,Acadia,642,595,47,42
12/10/2020,Acadia,375,337,38,32
12/11/2020,Acadia,263,214,49,38
12/12/2020,Acadia,81,67,14,13
12/13/2020,Acadia,122,87,35,26
12/14/2020,Acadia,936,872,64,50
12/15/2020,Acadia,324,283,41,33
12/16/2020,Acadia,757,710,47,40
12/17/2020,Acadia,427,380,47,37
12/18/2020,Acadia,207,159,47,37
12/19/2020,Acadia,76,60,16,12
12/20/2020,Acadia,150,124,26,24
12/21/2020,Acadia,925,849,75,58
12/22/2020,Acadia,274,232,42,32
12/23/2020,Acadia,609,559,50,40
12/24/2020,Acadia,124,110,14,13
12/25/2020,Acadia,29,26,3,2
12/26/2020,Acadia,103,75,27,24
12/27/2020,Acadia,160,130,30,26
12/28/2020,Acadia,969,890,79,69
12/29/2020,Acadia,256,200,56,46
12/30/2020,Acadia,637,574,63,52
12/31/2020,Acadia,193,153,40,33
1/1/2021,Acadia,71,50,21,20
1/2/2021,Acadia,109,89,20,17
1/3/2021,Acadia,150,113,36,27
1/4/2021,Acadia,1101,999,101,83
1/5/2021,Acadia,281,225,56,48
1/6/2021,Acadia,645,610,35,28
1/7/2021,Acadia,359,326,32,27
1/8/2021,Acadia,199,172,27,16
1/9/2021,Acadia,70,53,17,14
1/10/2021,Acadia,145,127,18,12
1/11/2021,Acadia,924,888,36,31
1/12/2021,Acadia,249,210,39,27
1/13/2021,Acadia,682,653,27,16
1/14/2021,Acadia,411,386,25,19
1/15/2021,Acadia,214,190,24,21
1/16/2021,Acadia,79,68,11,11
1/17/2021,Acadia,124,116,8,8
1/18/2021,Acadia,786,752,34,30
1/19/2021,Acadia,280,252,28,19
1/20/2021,Acadia,716,695,21,20
1/21/2021,Acadia,338,308,29,23
1/22/2021,Acadia,175,148,27,22
1/23/2021,Acadia,83,65,17,12
1/24/2021,Acadia,102,85,16,11
1/25/2021,Acadia,962,928,33,28
1/26/2021,Acadia,229,204,25,21
1/27/2021,Acadia,624,603,21,17
1/28/2021,Acadia,201,183,18,15
1/29/2021,Acadia,181,164,17,13
1/30/2021,Acadia,78,76,2,2
1/31/2021,Acadia,113,100,13,12
2/1/2021,Acadia,879,843,36,27
2/2/2021,Acadia,219,194,25,19
2/3/2021,Acadia,379,362,17,16
2/4/2021,Acadia,199,185,14,10
2/5/2021,Acadia,142,129,13,9
2/6/2021,Acadia,59,52,7,7
2/7/2021,Acadia,134,123,11,9
2/8/2021,Acadia,892,862,30,22
2/9/2021,Acadia,219,208,11,8
2/10/2021,Acadia,395,374,21,17
2/11/2021,Acadia,158,152,6,3
2/12/2021,Acadia,123,116,7,4
2/13/2021,Acadia,57,47,10,8
2/14/2021,Acadia,84,82,2,1
2/15/2021,Acadia,146,142,4,2
2/16/2021,Acadia,45,43,2,2
2/17/2021,Acadia,680,664,16,14
2/18/2021,Acadia,189,179,10,8
2/19/2021,Acadia,116,108,8,8
2/20/2021,Acadia,48,43,5,3
2/21/2021,Acadia,95,90,5,5
2/22/2021,Acadia,684,664,20,15
2/23/2021,Acadia,178,166,11,7
2/24/2021,Acadia,424,419,5,4
2/25/2021,Acadia,126,114,12,9
2/26/2021,Acadia,130,123,7,5
2/27/2021,Acadia,55,51,4,2
2/28/2021,Acadia,80,76,4,2
3/1/2021,Acadia,466,454,12,9
3/2/2021,Acadia,202,188,14,12
3/3/2021,Acadia,477,470,7,7
3/4/2021,Acadia,165,159,6,6
3/5/2021,Acadia,120,112,8,6
3/6/2021,Acadia,37,35,2,1
3/7/2021,Acadia,69,67,1,0
3/8/2021,Acadia,513,500,13,13
3/9/2021,Acadia,125,117,8,7
3/10/2021,Acadia,452,444,8,6
3/11/2021,Acadia,162,154,8,6
3/12/2021,Acadia,84,83,1,1
3/13/2021,Acadia,35,34,1,1
3/14/2021,Acadia,96,87,8,7
3/15/2021,Acadia,474,459,15,11
3/16/2021,Acadia,163,149,14,12
3/17/2021,Acadia,460,453,7,7
3/18/2021,Acadia,150,144,6,6
3/19/2021,Acadia,123,120,3,1
3/20/2021,Acadia,38,35,3,3
3/21/2021,Acadia,97,86,11,8
3/22/2021,Acadia,461,448,13,10
3/23/2021,Acadia,102,93,9,6
3/24/2021,Acadia,519,499,20,14
3/25/2021,Acadia,139,129,10,8
3/26/2021,Acadia,113,106,7,7
3/27/2021,Acadia,36,30,6,4
3/28/2021,Acadia,111,107,4,4
3/29/2021,Acadia,349,338,11,9
3/30/2021,Acadia,157,148,9,8
3/31/2021,Acadia,461,457,4,4
4/1/2021,Acadia,153,143,10,7
4/2/2021,Acadia,48,43,5,3
4/3/2021,Acadia,36,34,2,2
4/4/2021,Acadia,95,93,2,0
4/5/2021,Acadia,357,351,6,5
4/6/2021,Acadia,152,146,6,5
4/7/2021,Acadia,443,440,3,2
4/8/2021,Acadia,136,127,9,6
4/9/2021,Acadia,103,99,4,3
4/10/2021,Acadia,34,34,0,0
4/11/2021,Acadia,78,66,12,10
4/12/2021,Acadia,372,364,8,6
4/13/2021,Acadia,172,161,11,9
4/14/2021,Acadia,463,459,4,3
4/15/2021,Acadia,156,151,5,4
4/16/2021,Acadia,145,134,11,8
4/17/2021,Acadia,45,38,7,5
4/18/2021,Acadia,82,77,5,3
4/19/2021,Acadia,398,387,11,7
4/20/2021,Acadia,161,149,12,9
4/21/2021,Acadia,531,526,5,4
4/22/2021,Acadia,139,130,9,6
4/23/2021,Acadia,113,103,10,7
4/24/2021,Acadia,39,36,3,1
4/25/2021,Acadia,70,68,2,2
4/26/2021,Acadia,387,374,13,10
4/27/2021,Acadia,187,179,8,7
4/28/2021,Acadia,492,484,8,5
4/29/2021,Acadia,109,104,4,3
4/30/2021,Acadia,133,127,6,6
5/1/2021,Acadia,47,46,1,1
5/2/2021,Acadia,51,46,5,4
5/3/2021,Acadia,360,354,6,6
5/4/2021,Acadia,147,140,7,6
5/5/2021,Acadia,389,383,6,4
5/6/2021,Acadia,102,93,9,6
5/7/2021,Acadia,83,79,4,3
5/8/2021,Acadia,50,45,5,4
5/9/2021,Acadia,77,73,4,4
5/10/2021,Acadia,267,252,15,12
5/11/2021,Acadia,143,134,8,4
5/12/2021,Acadia,325,312,13,13
5/13/2021,Acadia,152,139,13,12
5/14/2021,Acadia,135,117,18,15
5/15/2021,Acadia,63,53,10,8
5/16/2021,Acadia,94,90,4,4
5/17/2021,Acadia,380,368,12,7
5/18/2021,Acadia,129,118,11,6
5/19/2021,Acadia,575,567,8,6
5/20/2021,Acadia,163,148,15,9
5/21/2021,Acadia,127,116,11,8
5/22/2021,Acadia,65,53,12,9
5/23/2021,Acadia,92,86,6,4
5/24/2021,Acadia,501,487,14,10
5/25/2021,Acadia,179,171,8,6
5/26/2021,Acadia,430,424,6,4
5/27/2021,Acadia,113,105,8,5
5/28/2021,Acadia,126,125,1,1
5/29/2021,Acadia,43,39,4,4
5/30/2021,Acadia,62,58,4,3
5/31/2021,Acadia,326,321,5,5
6/1/2021,Acadia,319,299,20,17
6/2/2021,Acadia,557,543,14,6
6/3/2021,Acadia,140,137,3,3
6/4/2021,Acadia,108,102,6,5
6/5/2021,Acadia,48,46,2,2
6/6/2021,Acadia,101,93,8,7
6/7/2021,Acadia,580,579,1,1
6/8/2021,Acadia,146,136,10,7
6/9/2021,Acadia,386,384,2,2
6/10/2021,Acadia,101,96,5,4
6/11/2021,Acadia,119,112,7,5
6/12/2021,Acadia,49,47,2,0
6/13/2021,Acadia,72,71,1,1
6/14/2021,Acadia,485,479,6,5
6/15/2021,Acadia,118,114,4,3
6/16/2021,Acadia,311,308,3,3
6/17/2021,Acadia,90,89,1,1
6/18/2021,Acadia,95,91,4,3
6/19/2021,Acadia,30,30,0,0
6/20/2021,Acadia,77,74,3,1
6/21/2021,Acadia,337,327,10,9
6/22/2021,Acadia,120,113,7,6
6/23/2021,Acadia,279,275,4,3
6/24/2021,Acadia,125,121,4,4
6/25/2021,Acadia,103,97,6,6
6/26/2021,Acadia,44,38,6,4
6/27/2021,Acadia,82,79,3,3
6/28/2021,Acadia,203,188,15,10
6/29/2021,Acadia,120,111,9,5
6/30/2021,Acadia,328,321,7,5
7/1/2021,Acadia,116,108,8,6
7/2/2021,Acadia,99,90,9,7
7/3/2021,Acadia,42,38,4,3
7/4/2021,Acadia,56,48,8,5
7/5/2021,Acadia,199,189,10,7
7/6/2021,Acadia,198,183,15,12
7/7/2021,Acadia,398,385,13,10
7/8/2021,Acadia,131,119,12,9
7/9/2021,Acadia,111,94,17,11
7/10/2021,Acadia,58,50,8,5
7/11/2021,Acadia,91,82,8,6
7/12/2021,Acadia,324,296,28,22
7/13/2021,Acadia,182,154,28,20
7/14/2021,Acadia,427,404,23,21
3/1/2020,Allen,0,0,0,0
3/2/2020,Allen,0,0,0,0
3/3/2020,Allen,0,0,0,0
3/4/2020,Allen,0,0,0,0
3/5/2020,Allen,0,0,0,0
3/6/2020,Allen,0,0,0,0
3/7/2020,Allen,0,0,0,0
3/8/2020,Allen,0,0,0,0
3/9/2020,Allen,0,0,0,0
3/10/2020,Allen,0,0,0,0
3/11/2020,Allen,1,1,0,0
3/12/2020,Allen,0,0,0,0
3/13/2020,Allen,0,0,0,0
3/14/2020,Allen,3,3,0,0
3/15/2020,Allen,1,1,0,0
3/16/2020,Allen,5,5,0,0
3/17/2020,Allen,2,2,0,0
3/18/2020,Allen,2,2,0,0
3/19/2020,Allen,12,9,3,1
3/20/2020,Allen,9,7,2,2
3/21/2020,Allen,1,1,0,0
3/22/2020,Allen,4,3,1,1
3/23/2020,Allen,23,20,3,3
3/24/2020,Allen,24,18,6,3
3/25/2020,Allen,30,24,6,3
3/26/2020,Allen,17,0,17,9
3/27/2020,Allen,12,8,4,4
3/28/2020,Allen,12,7,5,3
3/29/2020,Allen,12,2,10,2
3/30/2020,Allen,37,18,19,10
3/31/2020,Allen,22,12,10,5
4/1/2020,Allen,34,18,16,14
4/2/2020,Allen,34,30,4,4
4/3/2020,Allen,26,22,4,3
4/4/2020,Allen,4,3,1,0
4/5/2020,Allen,11,10,1,1
4/6/2020,Allen,34,29,5,2
4/7/2020,Allen,27,26,1,1
4/8/2020,Allen,26,24,2,0
4/9/2020,Allen,33,29,4,3
4/10/2020,Allen,11,9,2,2
4/11/2020,Allen,8,8,0,0
4/12/2020,Allen,5,5,0,0
4/13/2020,Allen,23,16,7,3
4/14/2020,Allen,18,11,7,5
4/15/2020,Allen,14,11,3,2
4/16/2020,Allen,24,23,1,0
4/17/2020,Allen,13,11,2,2
4/18/2020,Allen,5,5,0,0
4/19/2020,Allen,3,1,2,1
4/20/2020,Allen,14,8,6,0
4/21/2020,Allen,16,15,1,1
4/22/2020,Allen,16,13,3,2
4/23/2020,Allen,8,8,0,0
4/24/2020,Allen,9,8,1,0
4/25/2020,Allen,6,6,0,0
4/26/2020,Allen,7,7,0,0
4/27/2020,Allen,18,18,0,0
4/28/2020,Allen,26,22,4,2
4/29/2020,Allen,16,16,0,0
4/30/2020,Allen,13,12,1,1
5/1/2020,Allen,19,16,3,0
5/2/2020,Allen,15,15,0,0
5/3/2020,Allen,8,8,0,0
5/4/2020,Allen,13,13,0,0
5/5/2020,Allen,14,12,2,1
5/6/2020,Allen,17,17,0,0
5/7/2020,Allen,12,11,1,0
5/8/2020,Allen,21,17,4,0
5/9/2020,Allen,3,3,0,0
5/10/2020,Allen,4,4,0,0
5/11/2020,Allen,27,27,0,0
5/12/2020,Allen,25,24,1,0
5/13/2020,Allen,128,100,23,23
5/14/2020,Allen,465,401,56,52
5/15/2020,Allen,116,108,6,6
5/16/2020,Allen,11,11,0,0
5/17/2020,Allen,6,6,0,0
5/18/2020,Allen,33,33,0,0
5/19/2020,Allen,26,26,0,0
5/20/2020,Allen,122,121,1,1
5/21/2020,Allen,14,14,0,0
5/22/2020,Allen,18,18,0,0
5/23/2020,Allen,13,13,0,0
5/24/2020,Allen,7,7,0,0
5/25/2020,Allen,4,4,0,0
5/26/2020,Allen,22,22,0,0
5/27/2020,Allen,128,127,1,1
5/28/2020,Allen,11,10,1,1
5/29/2020,Allen,26,26,0,0
5/30/2020,Allen,16,16,0,0
5/31/2020,Allen,8,8,0,0
6/1/2020,Allen,50,47,3,3
6/2/2020,Allen,176,174,2,2
6/3/2020,Allen,87,86,1,1
6/4/2020,Allen,80,79,1,1
6/5/2020,Allen,31,29,2,1
6/6/2020,Allen,6,5,1,1
6/7/2020,Allen,7,6,1,1
6/8/2020,Allen,77,76,1,0
6/9/2020,Allen,313,296,16,15
6/10/2020,Allen,591,575,15,15
6/11/2020,Allen,58,56,2,2
6/12/2020,Allen,157,146,11,8
6/13/2020,Allen,11,11,0,0
6/14/2020,Allen,23,14,9,6
6/15/2020,Allen,122,112,10,10
6/16/2020,Allen,286,273,11,6
6/17/2020,Allen,391,364,27,23
6/18/2020,Allen,147,128,19,17
6/19/2020,Allen,167,154,13,11
6/20/2020,Allen,49,41,8,5
6/21/2020,Allen,26,15,11,9
6/22/2020,Allen,209,183,26,21
6/23/2020,Allen,254,236,18,11
6/24/2020,Allen,266,247,19,16
6/25/2020,Allen,189,170,19,14
6/26/2020,Allen,104,81,23,21
6/27/2020,Allen,16,13,3,3
6/28/2020,Allen,80,68,12,9
6/29/2020,Allen,165,137,28,20
6/30/2020,Allen,360,341,19,12
7/1/2020,Allen,115,86,29,18
7/2/2020,Allen,112,80,32,23
7/3/2020,Allen,78,53,25,15
7/4/2020,Allen,19,14,5,4
7/5/2020,Allen,26,14,12,8
7/6/2020,Allen,110,85,25,18
7/7/2020,Allen,895,861,34,26
7/8/2020,Allen,125,101,24,18
7/9/2020,Allen,91,68,23,18
7/10/2020,Allen,74,46,28,20
7/11/2020,Allen,19,8,11,10
7/12/2020,Allen,21,16,5,4
7/13/2020,Allen,143,110,33,23
7/14/2020,Allen,509,416,91,81
7/15/2020,Allen,259,234,24,20
7/16/2020,Allen,212,169,43,32
7/17/2020,Allen,109,84,25,18
7/18/2020,Allen,17,9,8,4
7/19/2020,Allen,10,5,5,3
7/20/2020,Allen,110,83,27,22
7/21/2020,Allen,589,486,101,89
7/22/2020,Allen,170,101,66,58
7/23/2020,Allen,175,122,53,37
7/24/2020,Allen,86,58,28,21
7/25/2020,Allen,25,15,10,9
7/26/2020,Allen,34,21,13,13
7/27/2020,Allen,217,188,28,24
7/28/2020,Allen,352,301,44,38
7/29/2020,Allen,212,191,16,12
7/30/2020,Allen,401,342,57,50
7/31/2020,Allen,126,83,42,36
8/1/2020,Allen,33,24,9,8
8/2/2020,Allen,18,12,6,5
8/3/2020,Allen,261,225,36,26
8/4/2020,Allen,317,276,40,36
8/5/2020,Allen,142,131,10,9
8/6/2020,Allen,141,125,14,11
8/7/2020,Allen,387,362,20,13
8/8/2020,Allen,22,18,4,4
8/9/2020,Allen,19,10,9,6
8/10/2020,Allen,224,202,20,14
8/11/2020,Allen,342,308,31,25
8/12/2020,Allen,121,113,8,8
8/13/2020,Allen,78,67,11,7
8/14/2020,Allen,192,174,15,13
8/15/2020,Allen,28,18,10,8
8/16/2020,Allen,21,19,2,1
8/17/2020,Allen,232,221,11,6
8/18/2020,Allen,171,156,15,13
8/19/2020,Allen,66,60,6,4
8/20/2020,Allen,67,61,6,5
8/21/2020,Allen,155,149,6,4
8/22/2020,Allen,11,10,1,1
8/23/2020,Allen,15,12,3,1
8/24/2020,Allen,180,170,10,6
8/25/2020,Allen,247,240,7,5
8/26/2020,Allen,27,26,1,0
8/27/2020,Allen,6,6,0,0
8/28/2020,Allen,19,17,2,2
8/29/2020,Allen,6,5,1,0
8/30/2020,Allen,6,5,1,1
8/31/2020,Allen,218,211,7,7
9/1/2020,Allen,26,24,2,2
9/2/2020,Allen,84,72,12,9
9/3/2020,Allen,43,36,7,6
9/4/2020,Allen,23,18,5,5
9/5/2020,Allen,9,8,1,0
9/6/2020,Allen,10,8,2,2
9/7/2020,Allen,38,22,16,13
9/8/2020,Allen,209,205,4,2
9/9/2020,Allen,109,108,1,1
9/10/2020,Allen,39,34,5,3
9/11/2020,Allen,46,43,3,3
9/12/2020,Allen,13,8,5,4
9/13/2020,Allen,10,5,5,2
9/14/2020,Allen,188,183,5,3
9/15/2020,Allen,128,126,2,2
9/16/2020,Allen,51,45,6,4
9/17/2020,Allen,55,47,8,4
9/18/2020,Allen,35,33,2,2
9/19/2020,Allen,5,4,1,1
9/20/2020,Allen,16,12,4,3
9/21/2020,Allen,170,142,28,22
9/22/2020,Allen,124,114,9,8
